trial_dir,model,h100_accuracy,h100_f1_c0,h100_f1_c1,h100_f1_c2,h100_f1_macro,h100_f1_weighted,h100_r2,h10_accuracy,h10_f1_c0,h10_f1_c1,h10_f1_c2,h10_f1_macro,h10_f1_weighted,h10_r2,h20_accuracy,h20_f1_c0,h20_f1_c1,h20_f1_c2,h20_f1_macro,h20_f1_weighted,h20_r2,h50_accuracy,h50_f1_c0,h50_f1_c1,h50_f1_c2,h50_f1_macro,h50_f1_weighted,h50_r2,mean_r2
trial-2_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,dilated_transformer,0.373285,0.2727429937439601,0.3856868737118897,0.4238407305028419,0.3607568659862306,0.3617105654634585,0.0,0.79265,0.10750663357014464,0.8857511378293454,0.11262577085361897,0.368627847417703,0.7586274867659198,0.0,0.658625,0.1524867333086511,0.7943688122746667,0.16497964450179084,0.37061173002836956,0.6054299873410031,0.0,0.439855,0.22413629653706038,0.5721581802211336,0.31362121197732173,0.3699718962451719,0.41503590555632514,0.0,0.0
trial-2_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,tcn_baseline,0.36714,0.3014747077647685,0.4269339459135533,0.34093282562940824,0.35644715976924335,0.35740747033694165,0.0,0.80012,0.10980805551895288,0.8900839899166884,0.11077370514520336,0.37022191686028155,0.7622843296873718,0.0,0.647065,0.1650410429744085,0.7845822697392837,0.18204217399338848,0.37722182890236017,0.6029595012842195,0.0,0.43428,0.2434634624310247,0.5639067815010494,0.2975809952251292,0.3683170797190678,0.4118429218897136,0.0,0.0
trial-2_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,hybrid_cnn_inception_lstm,0.37042,0.34542073848923005,0.36824432363287496,0.3928480063057021,0.3688376894759357,0.36904344832282376,0.0,0.72408,0.14455648813477448,0.8420499200846021,0.13419150061717514,0.3735993029455173,0.7268815735533912,0.0,0.60803,0.20433292675843645,0.7546964962458566,0.19060587971944484,0.38321176757457925,0.5890376621852064,0.0,0.418385,0.2786179337903476,0.5316880669101189,0.3184370334411094,0.37624767804719195,0.4108321596242543,0.0,0.0
trial-2_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,mlp_baseline,0.351275,0.228837702347563,0.41024681905585725,0.3584909751989649,0.33252516553412836,0.3339697585463483,0.0,0.77203,0.10624581379772272,0.8733045266538808,0.1311881188118812,0.3702461530878282,0.7496515085980545,0.0,0.63918,0.14574780058651024,0.7807980478750848,0.17845706539889594,0.3683343046201637,0.5969165766035849,0.0,0.422755,0.20146810970428872,0.5571477465143928,0.29128317208504867,0.34996634276791005,0.39613974720800177,0.0,0.0
trial-3_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,tcn_baseline,0.36089,0.29547307528050626,0.4098731532607074,0.3495639141888186,0.3516367142433441,0.3531487052192952,0.0,0.79265,0.10479069341394157,0.8872685971285639,0.1390320371905294,0.37703044257767826,0.7604197162578421,0.0,0.633485,0.1893562490577416,0.7758462703897161,0.19632547979403964,0.38717599974716577,0.606244355324912,0.0,0.43279,0.2752214149497502,0.56016884325779,0.2874457809087273,0.3742786797054225,0.41775228439547607,0.0,0.0
trial-3_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,hybrid_cnn_inception_lstm,0.359445,0.356801463278858,0.39777069865157194,0.3083639302215273,0.3543120307173191,0.3548764505545058,0.0,0.72988,0.1423487544483986,0.8472665575591958,0.14998733215100077,0.37986754805286504,0.7310429417828287,0.0,0.6038,0.19048744926508257,0.7524200555394653,0.19777263678915372,0.3802267138645672,0.5900091270180391,0.0,0.422835,0.2910659723716486,0.5459901276627782,0.27554765758046945,0.37086791920496537,0.4117185614542874,0.0,0.0
trial-3_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,dilated_transformer,0.390495,0.3658839607404647,0.38550693407625175,0.41751723552145414,0.38963604344605685,0.38988106416141105,0.0,0.82368,0.06265624168927185,0.9044040274254828,0.08428393524283935,0.350448068119198,0.7666702993640915,0.0,0.66778,0.18295309683942151,0.802106298275944,0.15100491632065619,0.3786881038120073,0.6172744033959724,0.0,0.44943,0.30160907025680217,0.5754058337259607,0.3185383017508161,0.3985177352445263,0.4399065645999809,0.0,0.0
trial-3_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,mlp_baseline,0.34178,0.30015000046583995,0.36665534500105734,0.3460738962407776,0.33762641390255826,0.33850049614322053,0.0,0.719935,0.13096605129111089,0.8401524884939953,0.14388906617156452,0.3716692019855569,0.7236647728713804,0.0,0.58257,0.1948805887501563,0.7342980317078796,0.20654563076550303,0.3785747504078463,0.5790820009363776,0.0,0.39923,0.27521732363992085,0.5118971885648909,0.29023987768382387,0.35911812996287856,0.3948674026310761,0.0,0.0
trial-1_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,tcn_baseline,0.34638,0.44274040382478674,0.23906173456155688,0.28954854669140384,0.3237835616925825,0.32228795858571574,0.0,0.80538,0.1357972722680586,0.8944791719604953,0.09583824462779944,0.37537156295211777,0.7722141348160098,0.0,0.600815,0.22852514948391436,0.7489323351392316,0.15661323871283492,0.3780235744453269,0.5886036160471803,0.0,0.38214,0.35314671556398497,0.47231020825070497,0.23685217273893375,0.35410303218454126,0.38055980559336167,0.0,0.0
trial-1_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,mlp_baseline,0.340555,0.43892176483598294,0.22627623534909072,0.2825047587556636,0.3159009196469124,0.3143291859341665,0.0,0.729825,0.11977114481567443,0.8467267249439737,0.08575486545622049,0.3507509117386229,0.7299131076734029,0.0,0.525575,0.19360582981754423,0.6843538450939652,0.14366345721930357,0.34054104404360436,0.5357534838261622,0.0,0.36055,0.34699443288280507,0.4342771658758572,0.23949433304272014,0.3402553106004608,0.3612971610539644,0.0,0.0
trial-1_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,dilated_transformer,0.34572,0.4376124119614732,0.21191304786402382,0.3201026210863455,0.3232093603039475,0.3213993324935093,0.0,0.81019,0.12751218677841444,0.8972690126516825,0.08704024648565375,0.3706071486385835,0.7732247801384926,0.0,0.63347,0.19672935404742437,0.7761071141518496,0.13826809437064025,0.37036818752330475,0.6007419292321282,0.0,0.360225,0.36044466013527854,0.4140445011218517,0.27212139653124723,0.3488701859294592,0.3634543395380641,0.0,0.0
trial-1_batc-128_enab-T_enab-F_loss-cb_focal_lr-3.0e-04_norm-robust_seq_-50_smot-adasyn,hybrid_cnn_inception_lstm,0.345155,0.4555739669105463,0.13833520655090947,0.31409690497210097,0.3026686928111856,0.3000552909171541,0.0,0.77685,0.13730332322020744,0.8771286697849211,0.10111494019866207,0.3718489777345968,0.7581225956429047,0.0,0.55715,0.20641869452327757,0.7106022082748076,0.17803239374964314,0.3650177655159094,0.5612568431840217,0.0,0.327855,0.38447415439590904,0.2921053768706699,0.28509854708810556,0.3205593594515615,0.3141752722154579,0.0,0.0
